chromNum	chromStart	chromEnd	bandname	gieStain
chr02	225800000	230700000	q36.3	gpos100
chr02	230700000	235300000	q37.1	gneg
chr02	235300000	237000000	q37.2	gpos50
chr02	237000000	242951149	q37.3	gneg
chr03	0	3500000	p26.3	gpos50
chr03	3500000	5500000	p26.2	gneg
chr03	5500000	8700000	p26.1	gpos50
chr03	8700000	11500000	p25.3	gneg
chr03	11500000	12400000	p25.2	gpos25
chr03	12400000	14700000	p25.1	gneg
chr03	14700000	23800000	p24.3	gpos100
chr03	23800000	26400000	p24.2	gneg
chr03	26400000	30800000	p24.1	gpos75
chr03	30800000	32100000	p23	gneg
chr03	32100000	36500000	p22.3	gpos50
chr03	36500000	39300000	p22.2	gneg
chr03	39300000	43600000	p22.1	gpos75
chr03	43600000	44400000	p21.33	gneg
chr03	44400000	44700000	p21.32	gpos50
chr03	44700000	51400000	p21.31	gneg
chr03	51400000	51700000	p21.2	gpos25
chr03	51700000	54400000	p21.1	gneg
chr03	54400000	58500000	p14.3	gpos50
chr03	58500000	63700000	p14.2	gneg
chr03	63700000	71800000	p14.1	gpos50
chr03	71800000	74200000	p13	gneg
chr03	74200000	81800000	p12.3	gpos75
chr03	81800000	83700000	p12.2	gneg
chr03	83700000	87200000	p12.1	gpos75
chr03	87200000	89400000	p11.2	gneg
chr03	89400000	91700000	p11.1	acen
chr03	91700000	93200000	q11.1	acen
chr03	93200000	99800000	q11.2	gvar
chr03	99800000	101500000	q12.1	gneg
chr03	101500000	102500000	q12.2	gpos25
chr03	102500000	104400000	q12.3	gneg
chr03	104400000	107800000	q13.11	gpos75
chr03	107800000	109500000	q13.12	gneg
chr03	109500000	112800000	q13.13	gpos50
chr03	112800000	115000000	q13.2	gneg
chr03	115000000	118800000	q13.31	gpos75
chr03	118800000	120500000	q13.32	gneg
chr03	120500000	123400000	q13.33	gpos75
chr03	123400000	125400000	q21.1	gneg
chr03	125400000	127700000	q21.2	gpos25
chr03	127700000	131500000	q21.3	gneg
chr03	131500000	135700000	q22.1	gpos25
chr03	135700000	137400000	q22.2	gneg
chr03	137400000	140400000	q22.3	gpos25
chr03	140400000	144400000	q23	gneg
chr03	144400000	150400000	q24	gpos100
chr03	150400000	153500000	q25.1	gneg
chr03	153500000	156300000	q25.2	gpos50
chr03	156300000	158100000	q25.31	gneg
chr03	158100000	159900000	q25.32	gpos50
chr03	159900000	161200000	q25.33	gneg
chr03	161200000	169200000	q26.1	gpos100
chr03	169200000	172500000	q26.2	gneg
chr03	172500000	177300000	q26.31	gpos75
chr03	177300000	180600000	q26.32	gneg
chr03	180600000	184200000	q26.33	gpos75
chr03	184200000	186000000	q27.1	gneg
chr03	186000000	187500000	q27.2	gpos25
chr03	187500000	189400000	q27.3	gneg
chr03	189400000	193800000	q28	gpos75
chr03	193800000	199501827	q29	gneg
chr04	0	3100000	p16.3	gneg
chr04	3100000	5200000	p16.2	gpos25
chr04	5200000	10900000	p16.1	gneg
chr04	10900000	15300000	p15.33	gpos50
chr04	15300000	18500000	p15.32	gneg
chr04	18500000	23100000	p15.31	gpos75
chr04	23100000	27900000	p15.2	gneg
chr04	27900000	35500000	p15.1	gpos100
chr04	35500000	40900000	p14	gneg
chr04	40900000	45600000	p13	gpos50
chr04	45600000	48700000	p12	gneg
chr04	48700000	50700000	p11	acen
chr04	50700000	52400000	q11	acen
chr04	52400000	59200000	q12	gneg
chr04	59200000	66300000	q13.1	gpos100
chr04	66300000	70400000	q13.2	gneg
chr04	70400000	76500000	q13.3	gpos75
chr04	76500000	79200000	q21.1	gneg
chr04	79200000	82600000	q21.21	gpos50
chr04	82600000	84300000	q21.22	gneg
chr04	84300000	87100000	q21.23	gpos25
chr04	87100000	88200000	q21.3	gneg
chr04	88200000	94000000	q22.1	gpos75
chr04	94000000	95400000	q22.2	gneg
chr04	95400000	99100000	q22.3	gpos75
chr04	99100000	102500000	q23	gneg
chr04	102500000	107900000	q24	gpos50
chr04	107900000	114100000	q25	gneg
chr04	114100000	120600000	q26	gpos75
chr04	120600000	124000000	q27	gneg
chr04	124000000	129100000	q28.1	gpos50
chr04	129100000	131300000	q28.2	gneg
chr04	131300000	139500000	q28.3	gpos100
chr04	139500000	141700000	q31.1	gneg
chr04	141700000	145000000	q31.21	gpos25
chr04	145000000	147700000	q31.22	gneg
chr04	147700000	151000000	q31.23	gpos25
chr04	151000000	155100000	q31.3	gneg
chr04	155100000	161500000	q32.1	gpos100
chr04	161500000	164500000	q32.2	gneg
chr04	164500000	170400000	q32.3	gpos100
chr04	170400000	172200000	q33	gneg
chr04	172200000	176600000	q34.1	gpos75
chr04	176600000	177800000	q34.2	gneg
chr04	177800000	182600000	q34.3	gpos100
chr04	182600000	187300000	q35.1	gneg
chr04	187300000	191273063	q35.2	gpos25
chr05	0	4400000	p15.33	gneg
chr05	4400000	6000000	p15.32	gpos25
chr05	6000000	8200000	p15.31	gneg
chr05	8200000	15100000	p15.2	gpos50
chr05	15100000	18500000	p15.1	gneg
chr05	18500000	23300000	p14.3	gpos100
chr05	23300000	24700000	p14.2	gneg
chr05	24700000	29300000	p14.1	gpos100
chr05	29300000	34400000	p13.3	gneg
chr05	34400000	38500000	p13.2	gpos25
chr05	38500000	42400000	p13.1	gneg
chr05	42400000	45800000	p12	gpos50
chr05	45800000	47700000	p11	acen
chr05	47700000	50500000	q11.1	acen
chr05	50500000	58900000	q11.2	gneg
chr05	58900000	63000000	q12.1	gpos75
chr05	63000000	63700000	q12.2	gneg
chr05	63700000	66500000	q12.3	gpos75
chr05	66500000	68400000	q13.1	gneg
chr05	68400000	73300000	q13.2	gpos50
chr05	73300000	76400000	q13.3	gneg
chr05	76400000	81300000	q14.1	gpos50
chr05	81300000	82800000	q14.2	gneg
chr05	82800000	91900000	q14.3	gpos100
chr05	91900000	97300000	q15	gneg
chr05	97300000	102800000	q21.1	gpos100
chr05	102800000	104500000	q21.2	gneg
chr05	104500000	109600000	q21.3	gpos100
chr05	109600000	111500000	q22.1	gneg
chr05	111500000	113100000	q22.2	gpos50
chr05	113100000	115200000	q22.3	gneg
chr05	115200000	121500000	q23.1	gpos100
chr05	121500000	127300000	q23.2	gneg
chr05	127300000	130400000	q23.3	gpos100
chr05	130400000	135400000	q31.1	gneg
chr05	135400000	139000000	q31.2	gpos25
chr05	139000000	143100000	q31.3	gneg
chr05	143100000	147200000	q32	gpos75
chr05	147200000	152100000	q33.1	gneg
chr05	152100000	155600000	q33.2	gpos50
chr05	155600000	159900000	q33.3	gneg
chr05	159900000	167400000	q34	gpos100
chr05	167400000	172200000	q35.1	gneg
chr05	172200000	176500000	q35.2	gpos25
chr05	176500000	180857866	q35.3	gneg
chr06	0	2300000	p25.3	gneg
chr06	2300000	4100000	p25.2	gpos25
chr06	4100000	7000000	p25.1	gneg
chr06	7000000	10600000	p24.3	gpos50
chr06	10600000	11200000	p24.2	gneg
chr06	11200000	13500000	p24.1	gpos25
chr06	13500000	15500000	p23	gneg
chr06	15500000	23500000	p22.3	gpos75
chr06	23500000	26100000	p22.2	gneg
chr06	26100000	29900000	p22.1	gpos50
chr06	29900000	31900000	p21.33	gneg
chr06	31900000	33600000	p21.32	gpos25
chr06	33600000	36800000	p21.31	gneg
chr06	36800000	40600000	p21.2	gpos25
chr06	40600000	45200000	p21.1	gneg
chr06	45200000	51100000	p12.3	gpos100
chr06	51100000	52600000	p12.2	gneg
chr06	52600000	57200000	p12.1	gpos100
chr06	57200000	58400000	p11.2	gneg
chr06	58400000	60500000	p11.1	acen
chr06	60500000	63400000	q11.1	acen
chr06	63400000	63500000	q11.2	gneg
chr06	63500000	70000000	q12	gpos100
chr06	70000000	75900000	q13	gneg
chr06	75900000	83900000	q14.1	gpos50
chr06	83900000	84700000	q14.2	gneg
chr06	84700000	87500000	q14.3	gpos50
chr06	87500000	92100000	q15	gneg
chr06	92100000	98700000	q16.1	gpos100
chr06	98700000	99900000	q16.2	gneg
chr06	99900000	104800000	q16.3	gpos100
chr06	104800000	113900000	q21	gneg
chr06	113900000	117100000	q22.1	gpos75
chr06	117100000	118600000	q22.2	gneg
chr06	118600000	126200000	q22.31	gpos100
chr06	126200000	127300000	q22.32	gneg
chr06	127300000	130400000	q22.33	gpos75
chr06	130400000	131300000	q23.1	gneg
chr06	131300000	135200000	q23.2	gpos50
chr06	135200000	139100000	q23.3	gneg
chr06	139100000	142900000	q24.1	gpos75
chr06	142900000	145700000	q24.2	gneg
chr06	145700000	149100000	q24.3	gpos75
chr06	149100000	152600000	q25.1	gneg
chr06	152600000	155600000	q25.2	gpos50
chr06	155600000	160900000	q25.3	gneg
chr06	160900000	164400000	q26	gpos50
chr06	164400000	170899992	q27	gneg
chr07	0	2100000	p22.3	gneg
chr07	2100000	4500000	p22.2	gpos25
chr07	4500000	7200000	p22.1	gneg
chr07	7200000	13300000	p21.3	gpos100
chr07	13300000	15200000	p21.2	gneg
chr07	15200000	19500000	p21.1	gpos100
chr07	19500000	24900000	p15.3	gneg
chr07	24900000	28000000	p15.2	gpos50
chr07	28000000	31800000	p15.1	gneg
chr07	31800000	35600000	p14.3	gpos75
chr07	35600000	37500000	p14.2	gneg
chr07	37500000	43300000	p14.1	gpos75
chr07	43300000	46600000	p13	gneg
chr07	46600000	49800000	p12.3	gpos75
chr07	49800000	50900000	p12.2	gneg
chr07	50900000	53900000	p12.1	gpos75
chr07	53900000	57400000	p11.2	gneg
chr07	57400000	59100000	p11.1	acen
chr07	59100000	61100000	q11.1	acen
chr07	61100000	66100000	q11.21	gneg
chr07	66100000	71800000	q11.22	gpos50
chr07	71800000	77400000	q11.23	gneg
chr07	77400000	86200000	q21.11	gpos100
chr07	86200000	88000000	q21.12	gneg
chr07	88000000	90900000	q21.13	gpos75
chr07	90900000	92600000	q21.2	gneg
chr07	92600000	97900000	q21.3	gpos75
chr07	97900000	104400000	q22.1	gneg
chr07	104400000	105900000	q22.2	gpos50
chr07	105900000	107200000	q22.3	gneg
chr07	107200000	114400000	q31.1	gpos75
chr07	114400000	117200000	q31.2	gneg
chr07	117200000	120900000	q31.31	gpos75
chr07	120900000	123600000	q31.32	gneg
chr07	123600000	126900000	q31.33	gpos75
chr07	126900000	129000000	q32.1	gneg
chr07	129000000	130100000	q32.2	gpos25
chr07	130100000	132400000	q32.3	gneg
chr07	132400000	137300000	q33	gpos50
chr07	137300000	142800000	q34	gneg
chr07	142800000	147500000	q35	gpos75
chr07	147500000	152200000	q36.1	gneg
chr07	152200000	154700000	q36.2	gpos25
chr07	154700000	158821424	q36.3	gneg
chr08	0	2200000	p23.3	gneg
chr08	2200000	6200000	p23.2	gpos75
chr08	6200000	12700000	p23.1	gneg
chr08	12700000	19100000	p22	gpos100
chr08	19100000	23400000	p21.3	gneg
chr08	23400000	27400000	p21.2	gpos50
chr08	27400000	29700000	p21.1	gneg
chr08	29700000	38500000	p12	gpos75
chr08	38500000	39500000	p11.23	gneg
chr08	39500000	39900000	p11.22	gpos25
chr08	39900000	43200000	p11.21	gneg
chr08	43200000	45200000	p11.1	acen
chr08	45200000	48100000	q11.1	acen
chr08	48100000	50400000	q11.21	gneg
chr08	50400000	52800000	q11.22	gpos75
chr08	52800000	55600000	q11.23	gneg
chr08	55600000	61700000	q12.1	gpos50
chr08	61700000	62400000	q12.2	gneg
chr08	62400000	66100000	q12.3	gpos50
chr08	66100000	68100000	q13.1	gneg
chr08	68100000	70600000	q13.2	gpos50
chr08	70600000	74000000	q13.3	gneg
chr08	74000000	78500000	q21.11	gpos100
chr08	78500000	80300000	q21.12	gneg
chr08	80300000	84900000	q21.13	gpos75
chr08	84900000	87200000	q21.2	gneg
chr08	87200000	93500000	q21.3	gpos100
chr08	93500000	99100000	q22.1	gneg
chr08	99100000	101600000	q22.2	gpos25
chr08	101600000	106100000	q22.3	gneg
chr08	106100000	110600000	q23.1	gpos75
chr08	110600000	112200000	q23.2	gneg
chr08	112200000	117700000	q23.3	gpos100
chr08	117700000	119200000	q24.11	gneg
chr08	119200000	122500000	q24.12	gpos50
chr08	122500000	127300000	q24.13	gneg
chr08	127300000	131500000	q24.21	gpos50
chr08	131500000	136500000	q24.22	gneg
chr08	136500000	140000000	q24.23	gpos75
chr08	140000000	146274826	q24.3	gneg
chr09	0	2200000	p24.3	gneg
chr09	2200000	4600000	p24.2	gpos25
chr09	4600000	9000000	p24.1	gneg
chr09	9000000	14100000	p23	gpos75
chr09	14100000	16600000	p22.3	gneg
chr09	16600000	18500000	p22.2	gpos25
chr09	18500000	19900000	p22.1	gneg
chr09	19900000	25500000	p21.3	gpos100
chr09	25500000	28100000	p21.2	gneg
chr09	28100000	32800000	p21.1	gpos100
chr09	32800000	36300000	p13.3	gneg
chr09	36300000	38000000	p13.2	gpos25
chr09	38000000	40200000	p13.1	gneg
chr09	40200000	42400000	p12	gpos50
chr09	42400000	46700000	p11.2	gneg
chr09	46700000	51800000	p11.1	acen
chr09	51800000	60300000	q11	acen
chr09	60300000	70000000	q12	gvar
chr09	70000000	70500000	q13	gneg
chr09	70500000	72700000	q21.11	gpos25
chr09	72700000	73100000	q21.12	gneg
chr09	73100000	79300000	q21.13	gpos50
chr09	79300000	80300000	q21.2	gneg
chr09	80300000	83400000	q21.31	gpos50
chr09	83400000	86100000	q21.32	gneg
chr09	86100000	89600000	q21.33	gpos50
chr09	89600000	91000000	q22.1	gneg
chr09	91000000	93000000	q22.2	gpos25
chr09	93000000	95600000	q22.31	gneg
chr09	95600000	98200000	q22.32	gpos25
chr09	98200000	101600000	q22.33	gneg
chr09	101600000	107200000	q31.1	gpos100
chr09	107200000	110300000	q31.2	gneg
chr09	110300000	113900000	q31.3	gpos25
chr09	113900000	116700000	q32	gneg
chr09	116700000	122000000	q33.1	gpos75
chr09	122000000	125800000	q33.2	gneg
chr09	125800000	129300000	q33.3	gpos25
chr09	129300000	132500000	q34.11	gneg
chr09	132500000	132800000	q34.12	gpos25
chr09	132800000	134900000	q34.13	gneg
chr09	134900000	136600000	q34.2	gpos25
chr09	136600000	140273252	q34.3	gneg
chr10	0	3000000	p15.3	gneg
chr10	3000000	3800000	p15.2	gpos25
chr10	3800000	6700000	p15.1	gneg
chr10	6700000	12300000	p14	gpos75
chr10	12300000	17300000	p13	gneg
chr10	17300000	19900000	p12.33	gpos75
chr10	19900000	20500000	p12.32	gneg
chr10	20500000	22800000	p12.31	gpos75
chr10	22800000	24100000	p12.2	gneg
chr10	24100000	28300000	p12.1	gpos50
chr10	28300000	31400000	p11.23	gneg
chr10	31400000	34500000	p11.22	gpos25
chr10	34500000	38800000	p11.21	gneg
chr10	38800000	40300000	p11.1	acen
chr10	40300000	42100000	q11.1	acen
chr10	42100000	46100000	q11.21	gneg
chr10	46100000	50100000	q11.22	gpos25
chr10	50100000	53300000	q11.23	gneg
chr10	53300000	61200000	q21.1	gpos100
chr10	61200000	64800000	q21.2	gneg
chr10	64800000	71300000	q21.3	gpos100
chr10	71300000	74600000	q22.1	gneg
chr10	74600000	77400000	q22.2	gpos50
chr10	77400000	82000000	q22.3	gneg
chr10	82000000	87900000	q23.1	gpos100
chr10	87900000	89600000	q23.2	gneg
chr10	89600000	92900000	q23.31	gpos75
chr10	92900000	94200000	q23.32	gneg
chr10	94200000	98000000	q23.33	gpos50
chr10	98000000	99400000	q24.1	gneg
chr10	99400000	102000000	q24.2	gpos50
chr10	102000000	103000000	q24.31	gneg
chr10	103000000	104900000	q24.32	gpos25
chr10	104900000	105700000	q24.33	gneg
chr10	105700000	111800000	q25.1	gpos100
chr10	111800000	114900000	q25.2	gneg
chr10	114900000	119100000	q25.3	gpos75
chr10	119100000	121700000	q26.11	gneg
chr10	121700000	123100000	q26.12	gpos50
chr10	123100000	127400000	q26.13	gneg
chr10	127400000	130500000	q26.2	gpos50
chr10	130500000	135374737	q26.3	gneg
chr11	0	2800000	p15.5	gneg
chr11	2800000	10700000	p15.4	gpos50
chr11	10700000	12600000	p15.3	gneg
chr11	12600000	16100000	p15.2	gpos50
chr11	16100000	21600000	p15.1	gneg
chr11	21600000	26000000	p14.3	gpos100
chr11	26000000	27200000	p14.2	gneg
chr11	27200000	31000000	p14.1	gpos75
chr11	31000000	36400000	p13	gneg
chr11	36400000	43400000	p12	gpos100
chr11	43400000	48800000	p11.2	gneg
chr11	48800000	51400000	p11.12	gpos75
chr11	51400000	52900000	p11.11	acen
chr11	52900000	56400000	q11	acen
chr11	56400000	59700000	q12.1	gpos75
chr11	59700000	61400000	q12.2	gneg
chr11	61400000	63100000	q12.3	gpos25
chr11	63100000	67100000	q13.1	gneg
chr11	67100000	69200000	q13.2	gpos25
chr11	69200000	70700000	q13.3	gneg
chr11	70700000	74900000	q13.4	gpos50
chr11	74900000	76700000	q13.5	gneg
chr11	76700000	85300000	q14.1	gpos100
chr11	85300000	87900000	q14.2	gneg
chr11	87900000	92300000	q14.3	gpos100
chr11	92300000	96700000	q21	gneg
chr11	96700000	101600000	q22.1	gpos100
chr11	101600000	102400000	q22.2	gneg
chr11	102400000	110000000	q22.3	gpos100
chr11	110000000	112800000	q23.1	gneg
chr11	112800000	115400000	q23.2	gpos50
chr11	115400000	120700000	q23.3	gneg
chr11	120700000	123500000	q24.1	gpos50
chr11	123500000	127400000	q24.2	gneg
chr11	127400000	130300000	q24.3	gpos50
chr11	130300000	134452384	q25	gneg
chr12	0	3100000	p13.33	gneg
chr12	3100000	5300000	p13.32	gpos25
chr12	5300000	10000000	p13.31	gneg
chr12	10000000	12600000	p13.2	gpos75
chr12	12600000	14800000	p13.1	gneg
chr12	14800000	19900000	p12.3	gpos100
chr12	19900000	21200000	p12.2	gneg
chr12	21200000	26300000	p12.1	gpos100
chr12	26300000	27700000	p11.23	gneg
chr12	27700000	30600000	p11.22	gpos50
chr12	30600000	33200000	p11.21	gneg
chr12	33200000	35400000	p11.1	acen
chr12	35400000	36500000	q11	acen
chr12	36500000	44600000	q12	gpos100
chr12	44600000	47400000	q13.11	gneg
chr12	47400000	48400000	q13.12	gpos25
chr12	48400000	53100000	q13.13	gneg
chr12	53100000	55200000	q13.2	gpos25
chr12	55200000	56300000	q13.3	gneg
chr12	56300000	61400000	q14.1	gpos75
chr12	61400000	63400000	q14.2	gneg
chr12	63400000	66000000	q14.3	gpos50
chr12	66000000	69800000	q15	gneg
chr12	69800000	74100000	q21.1	gpos75
chr12	74100000	78700000	q21.2	gneg
chr12	78700000	85100000	q21.31	gpos100
chr12	85100000	87500000	q21.32	gneg
chr12	87500000	91200000	q21.33	gpos100
chr12	91200000	94800000	q22	gneg
chr12	94800000	100000000	q23.1	gpos75
chr12	100000000	102400000	q23.2	gneg
chr12	102400000	107500000	q23.3	gpos50
chr12	107500000	110200000	q24.11	gneg
chr12	110200000	110800000	q24.12	gpos25
chr12	110800000	112800000	q24.13	gneg
chr12	112800000	115300000	q24.21	gpos50
chr12	115300000	116700000	q24.22	gneg
chr12	116700000	119100000	q24.23	gpos50
chr12	119100000	124500000	q24.31	gneg
chr12	124500000	128700000	q24.32	gpos50
chr12	128700000	132349534	q24.33	gneg
chr13	0	3800000	p13	gvar
chr13	3800000	8300000	p12	stalk
chr13	8300000	13500000	p11.2	gvar
chr13	13500000	16000000	p11.1	acen
chr13	16000000	18400000	q11	acen
chr13	18400000	22200000	q12.11	gneg
chr13	22200000	24400000	q12.12	gpos25
chr13	24400000	26700000	q12.13	gneg
chr13	26700000	27800000	q12.2	gpos25
chr13	27800000	31100000	q12.3	gneg
chr13	31100000	32900000	q13.1	gpos50
chr13	32900000	34700000	q13.2	gneg
chr13	34700000	39500000	q13.3	gpos75
chr13	39500000	44300000	q14.11	gneg
chr13	44300000	45900000	q14.12	gpos25
chr13	45900000	46200000	q14.13	gneg
chr13	46200000	48900000	q14.2	gpos50
chr13	48900000	52200000	q14.3	gneg
chr13	52200000	57600000	q21.1	gpos100
chr13	57600000	60500000	q21.2	gneg
chr13	60500000	64100000	q21.31	gpos75
chr13	64100000	67200000	q21.32	gneg
chr13	67200000	72100000	q21.33	gpos100
chr13	72100000	74200000	q22.1	gneg
chr13	74200000	76000000	q22.2	gpos50
chr13	76000000	77800000	q22.3	gneg
chr13	77800000	86500000	q31.1	gpos100
chr13	86500000	88800000	q31.2	gneg
chr13	88800000	93800000	q31.3	gpos100
chr13	93800000	97000000	q32.1	gneg
chr13	97000000	98100000	q32.2	gpos25
chr13	98100000	100500000	q32.3	gneg
chr13	100500000	103700000	q33.1	gpos100
chr13	103700000	105800000	q33.2	gneg
chr13	105800000	109100000	q33.3	gpos100
chr13	109100000	114142980	q34	gneg
chr14	0	3100000	p13	gvar
chr14	3100000	6700000	p12	stalk
chr14	6700000	13600000	p11.2	gvar
chr14	13600000	15600000	p11.1	acen
chr14	15600000	19100000	q11.1	acen
chr14	19100000	23600000	q11.2	gneg
chr14	23600000	31800000	q12	gpos100
chr14	31800000	34100000	q13.1	gneg
chr14	34100000	35600000	q13.2	gpos50
chr14	35600000	36900000	q13.3	gneg
chr14	36900000	41000000	q21.1	gpos100
chr14	41000000	43200000	q21.2	gneg
chr14	43200000	48300000	q21.3	gpos100
chr14	48300000	52300000	q22.1	gneg
chr14	52300000	54400000	q22.2	gpos25
chr14	54400000	55800000	q22.3	gneg
chr14	55800000	61200000	q23.1	gpos75
chr14	61200000	64000000	q23.2	gneg
chr14	64000000	67000000	q23.3	gpos50
chr14	67000000	69300000	q24.1	gneg
chr14	69300000	72900000	q24.2	gpos50
chr14	72900000	78400000	q24.3	gneg
chr14	78400000	82600000	q31.1	gpos100
chr14	82600000	84000000	q31.2	gneg
chr14	84000000	88900000	q31.3	gpos100
chr14	88900000	90500000	q32.11	gneg
chr14	90500000	92800000	q32.12	gpos25
chr14	92800000	95400000	q32.13	gneg
chr14	95400000	100400000	q32.2	gpos50
chr14	100400000	102200000	q32.31	gneg
chr14	102200000	103000000	q32.32	gpos50
chr14	103000000	106368585	q32.33	gneg
chr15	0	3500000	p13	gvar
chr15	3500000	7900000	p12	stalk
chr15	7900000	14100000	p11.2	gvar
chr15	14100000	17000000	p11.1	acen
chr15	17000000	18400000	q11.1	acen
chr15	18400000	23300000	q11.2	gneg
chr15	23300000	25700000	q12	gpos50
chr15	25700000	28000000	q13.1	gneg
chr15	28000000	29000000	q13.2	gpos50
chr15	29000000	31400000	q13.3	gneg
chr15	31400000	37900000	q14	gpos75
chr15	37900000	40700000	q15.1	gneg
chr15	40700000	41400000	q15.2	gpos25
chr15	41400000	42700000	q15.3	gneg
chr15	42700000	47600000	q21.1	gpos75
chr15	47600000	51100000	q21.2	gneg
chr15	51100000	55800000	q21.3	gpos75
chr15	55800000	57100000	q22.1	gneg
chr15	57100000	61500000	q22.2	gpos25
